Unnamed: 0,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19,u20,u21,u22,u23,u24,u25,u26,u27,u28,u29,u30,u31,u32,u33,u34,u35,u36,u37,u38,u39,u40,u41,u42,u43,u44,u45,u46,u47,u48,u49,u50,u51,u52,u53,u54,u55,u56,u57,u58,u59,u60,u61,u62,u63,u64,u65,u66,u67,u68,u69,u70,u71,u72,u73,u74,u75,u76,u77,u78,u79,u80,u81,u82,u83,u84,u85,u86,u87,u88,u89,u90,u91,u92,u93,u94,u95,u96,u97,u98,u99,u100
s1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,9,0,0,10,0,0,0,0,36,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,15,0,0,0,0,0,0,0
s2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,3,2,2,23,0,1,0,0,2,2,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,3,0,0,2,0,0,0,1,1,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,31,0,9,0,0,4,0,0,0,10,0,0,2,9,0,0,0
s3,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,10,0,2,0,0,0,0,0,0,0,0,25,2,0,0,0,1,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
s4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,78,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
s5,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,18,0,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,3,0,0,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,8,0,1,0,24,0,0,0,0,0,0,0
s6,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,6,12,0,0,2,28,0,0,0,0,0,0,0,0,4,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0
s7,24,0,0,19,0,6,0,0,0,0,0,2,3,0,0,1,0,19,1,3,4,0,0,14,0,124,0,0,62,4,22,0,0,1,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,51,1,0,0,0,0,0,0,0,1,0,0,0,0,0,67,0,0,0,121,1,0,0,0,0,0,3
s8,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,13,0,0,0,0,4,0,0,2,0,6,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
s9,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,45,1,0,10,12,4,2,10,0,12,0,0,10,0,68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,4,2,0,0,1,0,0,0,8,0,0,0,0,0,14,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,7
s10,12,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,22,1,1,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
s11,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,4,0,2,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,8,4,0,0,1,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
s12,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,0,10,0,0,0,0,0,0,2,0,16,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,24,0,0,0,0,0,0,0
s13,0,4,0,0,0,2,0,0,0,0,0,1,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,21,0,0,2,1,0,1,0,0,0,20,0,0,0,0,0,0,17,0,0,0,0,0,0,1,1,0,0,0
s14,0,0,0,0,0,20,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,15,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
s15,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,1,0,0,172,1,0,0,120,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,54,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
s16,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,8,0,6,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,2,0,0,31,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,1,0,2,0,0,0,0,0,0,0,0,1
s17,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,1,1,0,0,0,0,2,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0
