user_000045,2009-04-19T19:32:41Z,ccfe7a3c-1a45-4984-a8d0-644549cefe61,Europe,342579e9-a1e9-4088-bd61-88de6fa8ef8b,Superstitious
user_000045,2006-12-09T23:17:07Z,9efee4d1-da8f-4a8e-b34d-b5f0abb5a8e0,Máni Svavarsson,333a2f4b-5b7e-4d35-9607-326af242b99d,You Are A Pirate
user_000045,2006-12-09T23:12:36Z,,Pulentos,,Estilo Animal
user_000045,2006-12-09T20:08:38Z,765774a0-2060-469b-8b7d-612eea48579b,Helloween,83af5275-8de9-4f56-ae1e-3b0018a24949,Pleasure Drone
user_000045,2006-12-09T20:00:57Z,d4a1404d-e00c-4bac-b3ba-e3557f6468d6,Ace Of Base,922a200a-bd0a-4d36-bfe6-01f29d50744b,Wheel Of Fortune
user_000045,2006-12-09T19:56:21Z,d4a1404d-e00c-4bac-b3ba-e3557f6468d6,Ace Of Base,81ea4779-238a-4cb6-89be-3addbffc70d2,The Sign
user_000045,2006-12-09T19:49:55Z,9efee4d1-da8f-4a8e-b34d-b5f0abb5a8e0,Máni Svavarsson,333a2f4b-5b7e-4d35-9607-326af242b99d,You Are A Pirate
user_000045,2006-12-09T19:45:05Z,9efee4d1-da8f-4a8e-b34d-b5f0abb5a8e0,Máni Svavarsson,333a2f4b-5b7e-4d35-9607-326af242b99d,You Are A Pirate
user_000045,2006-12-09T19:27:20Z,9efee4d1-da8f-4a8e-b34d-b5f0abb5a8e0,Máni Svavarsson,333a2f4b-5b7e-4d35-9607-326af242b99d,You Are A Pirate
user_000045,2006-12-09T19:25:30Z,9efee4d1-da8f-4a8e-b34d-b5f0abb5a8e0,Máni Svavarsson,333a2f4b-5b7e-4d35-9607-326af242b99d,You Are A Pirate
user_000045,2006-12-09T19:00:21Z,9efee4d1-da8f-4a8e-b34d-b5f0abb5a8e0,Máni Svavarsson,333a2f4b-5b7e-4d35-9607-326af242b99d,You Are A Pirate
user_000045,2006-12-09T18:55:24Z,9efee4d1-da8f-4a8e-b34d-b5f0abb5a8e0,Máni Svavarsson,333a2f4b-5b7e-4d35-9607-326af242b99d,You Are A Pirate
user_000045,2006-12-09T18:53:34Z,9efee4d1-da8f-4a8e-b34d-b5f0abb5a8e0,Máni Svavarsson,333a2f4b-5b7e-4d35-9607-326af242b99d,You Are A Pirate
user_000045,2006-12-09T18:49:12Z,9efee4d1-da8f-4a8e-b34d-b5f0abb5a8e0,Máni Svavarsson,333a2f4b-5b7e-4d35-9607-326af242b99d,You Are A Pirate
user_000045,2006-12-09T18:47:21Z,9efee4d1-da8f-4a8e-b34d-b5f0abb5a8e0,Máni Svavarsson,333a2f4b-5b7e-4d35-9607-326af242b99d,You Are A Pirate
