,s153,s167,s234,s248,s259,s425,s535,s624,s789,s853,s901,s949,s956,s1207,s1210,s1235,s1352,s1455,s1527,s1649,s1721,s1741,s1795,s1813,s1875,s1965,s1972,s1980,s2052,s2118,s2155,s2300,s2301,s2312,s2313,s2696,s2713,s2734,s2738,s2759,s2765,s3198,s3271,s3409,s3454,s3618,s3789,s3796,s3849,s3970,s3997,s4031,s4064,s4113,s4158,s4230,s4232,s4351,s4353,s4580,s4878,s4912,s4922,s4983,s5070,s5152,s5157,s5392,s5425,s5502
0,0,19,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,8,0,23,8,0,1,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,2,4,0,1,0,0,1,0,0,0,31,0,0,1,0,3
1,0,25,10,44,12,11,15,4,2,2,5,24,11,0,44,6,0,12,1,0,2,10,49,0,1,7,16,0,6,28,31,17,7,45,11,0,0,5,5,3,16,0,15,5,0,2,45,0,0,19,7,12,5,11,10,2,0,1,2,1,5,4,1,0,2,33,123,26,34,3
2,40,1,0,2,0,4,0,10,1,0,4,0,0,2,0,0,1,0,0,0,5,2,0,1,0,1,17,0,0,0,11,4,1,35,1,0,1,5,2,0,0,0,0,0,0,1,1,0,21,0,0,2,11,3,17,3,0,8,0,6,0,1,0,0,0,4,4,8,0,4
3,0,95,1,5,0,3,4,3,3,8,4,2,1,1,1,4,1,0,1,5,4,15,2,0,1,0,0,5,7,1,13,0,0,18,3,1,1,5,2,5,2,0,3,4,2,3,0,0,3,12,11,2,2,0,2,0,0,4,3,3,0,6,7,0,0,1,5,0,7,7
4,63,221,0,1,8,0,0,55,0,1,0,16,0,0,0,2,0,4,0,0,0,0,0,1,0,2,5,4,0,1,0,0,0,6,0,50,1,0,2,0,0,0,26,0,10,0,134,0,0,0,0,0,1,0,7,8,1,0,76,0,0,0,0,23,0,0,0,0,0,0
5,1,5,0,0,0,1,22,1,2,3,1,7,7,5,0,0,1,1,2,0,0,0,0,9,1,1,0,2,4,6,6,5,0,45,17,10,0,60,17,2,8,1,2,1,1,4,1,2,2,0,4,0,1,1,6,1,6,4,3,0,0,1,0,0,24,0,0,7,5,42
6,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,5,0
7,0,1,0,7,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,68,0,0,0,0,1,0,0,0,6,0,3,2,1,0,0,0,0,0,6,0,0,0,0,7,6,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,10,0,1,0
8,0,0,1,2,0,17,0,3,1,0,0,2,0,0,1,0,0,0,4,0,0,1,1,0,4,2,2,2,0,0,2,3,1,5,1,2,0,0,0,0,6,0,1,0,17,10,1,0,0,0,2,1,0,1,0,0,1,0,0,4,1,0,6,0,0,8,0,1,2,3
9,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1,8,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
10,4,0,0,0,2,0,0,7,5,0,4,2,0,0,0,0,4,24,2,0,0,0,1,1,4,1,0,0,2,0,0,14,0,71,9,0,2,4,0,0,3,2,6,0,7,3,3,1,0,0,1,1,5,0,0,3,0,2,2,16,5,0,0,0,0,6,0,0,9,0
11,5,34,6,0,2,6,0,1,5,4,29,6,0,12,9,0,26,2,19,9,0,6,0,11,4,75,16,2,3,2,6,11,19,46,0,0,3,1,22,0,8,1,15,1,8,4,6,20,5,3,0,0,1,0,0,20,51,2,10,0,14,3,7,3,5,2,10,3,0,24
12,0,33,0,1,1,0,0,19,3,0,0,0,1,0,11,0,8,0,2,0,5,0,3,2,0,0,0,7,5,0,2,0,0,2,0,3,0,2,4,0,4,3,2,0,4,1,0,0,17,2,8,27,0,2,0,2,0,0,1,0,2,2,0,14,2,0,0,0,0,3
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,0,0,0,0,0,2,0,1,1,0,0,1,0,12,0,0,2,0,0,0,0,1,0,0,1,1,0,1,6,0,0,0,0,8,0,1,0,1,0,1,0,0,4,0,35,8,1,3,1,1,2,0,2,0,0,2,1,0,0,0,0,0,0,0,14,2,0,1,0,2
15,9,3,1,5,0,10,0,13,5,12,9,4,24,0,33,0,3,0,3,17,18,2,2,3,1,11,5,9,0,1,19,1,3,2,0,1,2,1,0,1,20,7,1,6,0,12,6,0,7,5,1,2,4,29,22,3,1,3,4,0,5,1,3,13,1,4,1,6,4,0
16,9,3,0,13,1,5,1,8,2,7,1,7,6,5,2,0,1,2,5,0,5,4,9,4,2,8,2,11,5,2,6,0,0,4,4,3,4,0,0,1,4,0,4,0,4,3,4,4,3,9,1,5,3,0,2,0,3,6,4,2,7,6,5,11,4,9,12,0,4,1
17,0,3,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,41,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,50,26,0,0,24,0,0,65,0,0,0,0,0,0,19,0,14,1,7,43,0,0,0,0,0,0,11,30,4,12,1
18,0,14,0,54,0,9,0,0,3,147,0,0,54,13,31,0,5,0,0,1,0,0,0,0,0,0,8,20,2,0,1,15,1,14,1,0,17,9,0,1,2,12,53,1,41,24,17,0,38,1,1,0,7,3,1,5,0,0,0,0,2,1,0,0,4,1,12,1,3,1
19,0,3,8,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,3,0,2,0,1,0,1,0,0,0,2,1,1,1,6,7,0,0,0,0,1,0,5,0,33,0,0,0,0,2,0,0,0,1,0,1,3,0,0
