,Unnamed: 0,songname,count,songid
136,136,#NAME?,18,s0
332,332,(Antichrist Television Blues),15,s1
410,410,(Don'T Fear) The Reaper,12,s2
497,497,(I Can'T Get No) Satisfaction,24,s3
648,648,(Nice Dream),10,s4
827,827,(White Man) In Hammersmith Palais,13,s5
909,909,-,11,s6
1877,1877,05-Apr,10,s7
2335,2335,1,15,s8
2478,2478,10,11,s9
2532,2532,10 Dollar,12,s10
2584,2584,"10,000 Days (Wings, Part 2)",12,s11
2679,2679,100%,13,s12
2806,2806,10:15 Saturday Night,12,s13
2941,2941,12,14,s14
3046,3046,1234,15,s15
3063,3063,12:51,17,s16
3078,3078,13,13,s17
3273,3273,15 Minutes,17,s18
3278,3278,15 Step,29,s19
3372,3372,17,14,s20
3448,3448,"18,000 Lira",13,s21
3562,3562,1969,15,s22
3591,3591,1979,26,s23
3609,3609,1985,11,s24
3634,3634,1999,13,s25
3643,3643,19Th Nervous Breakdown,10,s26
3705,3705,2,16,s27
3709,3709,2 + 2 = 5 (The Lukewarm.),11,s28
3747,3747,2 Hearts,13,s29
3825,3825,2+2= 5,15,s30
3889,3889,20 Years Of Snow,12,s31
4001,4001,20Th Century Boy,14,s32
4009,4009,21,11,s33
4048,4048,21St Century,13,s34
4077,4077,22 Grand Job,15,s35
4099,4099,23,20,s36
4134,4134,24,12,s37
4149,4149,24 Hours,14,s38
4331,4331,3,15,s39
4369,4369,3 Libras,17,s40
4422,4422,3'S & 7'S,10,s41
4494,4494,300 M.P.H. Torrential Outpour Blues,10,s42
4579,4579,36 Degrees,16,s43
4651,4651,3Rd Planet,11,s44
4665,4665,4,17,s45
4790,4790,40 Ft,15,s46
4802,4802,40 Years Back / Come,10,s47
4803,4803,40',12,s48
4838,4838,42,14,s49
4893,4893,49 Percent,14,s50
4938,4938,4Th Dimensional Transition,14,s51
4941,4941,4Th Of July,13,s52
4955,4955,5,17,s53
5006,5006,5 Years,12,s54
5093,5093,505,10,s55
5167,5167,6,12,s56
5190,5190,6 Underground,13,s57
5303,5303,7,26,s58
5379,5379,7/4 (Shoreline),13,s59
5445,5445,8,12,s60
5590,5590,9 Crimes,17,s61
5610,5610,9 To 5,11,s62
6286,6286,A,11,s63
6306,6306,A Bad Dream,11,s64
6532,6532,A Certain Romance,18,s65
6551,6551,A Change Is Gonna Come,10,s66
6603,6603,A Comet Appears,10,s67
6699,6699,A Day In The Life,20,s68
6753,6753,A Design For Life,14,s69
6762,6762,A Different City,11,s70
6918,6918,A Fond Farewell,10,s71
6928,6928,A Forest,27,s72
6975,6975,A Gentle Dissolve,10,s73
6980,6980,A Get Together To Tear It Apart,12,s74
7001,7001,A Girl Like You,10,s75
7032,7032,A Good Man Is Hard To Find,10,s76
7052,7052,A Great Day For Freedom,10,s77
7087,7087,A Hard Day'S Night,15,s78
7127,7127,A Higher Place,15,s79
7233,7233,A Lack Of Color,20,s80
7260,7260,A Letter To Elise,10,s81
7363,7363,A Little Respect,11,s82
7526,7526,A Message,18,s83
